,mean of normalized counts for all samples,log2 fold change (MAP): group cag_female vs wt_female,standard error: group cag_female vs wt_female,Wald statistic: group cag_female vs wt_female,Wald test p-value: group cag_female vs wt_female,BH adjusted p-values,symbol,ENTREZID,CHR,raClass,log2 fold change: Testis vs Ovary,BH adjusted p-Value: Testis vs Ovary
ENSMUSG00000020892,83.9479563923965,3.07668386309455,0.518921727377994,5.92899410599053,0.00000000304796026396641,0.0000000418322842292831,Aloxe3,23801,chr11,0,3.75138993246118,0.00000000000183533006242824
ENSMUSG00000048217,209.50592095861,3.07518275201125,0.452163228461434,6.80104563671642,0.0000000000103862510856366,0.000000000195233915755919,Nags,217214,chr11,0,1.79773819689998,0.000188913144219331
ENSMUSG00000049571,578.649872046483,3.06233344299575,0.484542406074362,6.32005249613958,0.000000000261474461654566,0.00000000414114066911557,NA,NA,chr7,0,7.66733795124361,1.50054569292861e-58
ENSMUSG00000093739,32.2747082742556,3.05575398580359,0.612046081021405,4.99268614007632,0.00000059545279490215,0.00000549379847298225,NA,NA,chr6,0,0.719361256477515,0.352367359546604
ENSMUSG00000091042,32.2818177949666,3.05188446060782,0.943849066564593,3.23344544029272,0.00122306695562839,0.00537859819441439,NA,NA,chr14,0,5.66178644895063,0.0000000020000863501806
ENSMUSG00000039058,66.9310168965614,3.05056467280297,0.487668896902805,6.25540134336465,0.000000000396494924808902,0.00000000612523763704784,Ak5,229949,chr3,0,2.87305900367343,0.0000000200938566792766
ENSMUSG00000032482,131.621413799339,3.04793910468402,0.48534173745366,6.27998556372875,0.000000000338604468741429,0.00000000527049266613207,Cspg5,29873,chr9,0,1.51008921849046,0.00435374955775209
ENSMUSG00000041577,2159.97144782638,3.04694230760418,0.179451287313379,16.9792167736487,1.17037512338318e-64,4.20443330038223e-62,Prelp,116847,chr1,0,-1.49823434719131,0.000000000000131153830197793
ENSMUSG00000042750,498.003725474546,3.04394490122106,0.309741648355118,9.82736715383905,8.58333893781639e-23,4.27881336653437e-21,Bex2,12069,chrX,0,-0.889740533137437,0.0142173172559725
ENSMUSG00000032671,227.38906190182,3.04057357298831,0.669669935830738,4.54040626628464,0.00000561459357531447,0.0000432503341717213,A930018P22Rik,68243,chr2,0,8.2275345986978,7.41263432737158e-38
ENSMUSG00000020607,1985.44752492897,3.04029207706549,0.330385280638632,9.20226249543754,3.50490895454391e-20,1.45761655520311e-18,Fam84a,105005,chr12,0,2.25631956834152,0.0000000000317349850163291
ENSMUSG00000015970,1101.52064689598,3.03518497390502,0.218530992460861,13.8890366978433,7.38214594485865e-44,1.16834074841987e-41,Chdh,218865,chr14,0,2.93771087618515,8.59146320722726e-40
ENSMUSG00000023959,717.138574268871,3.03412492389971,0.248611815263326,12.2042668031928,2.94953426101311e-34,2.98008300871646e-32,Clic5,224796,chr17,0,-1.92469775552879,0.000000000339497401471008
ENSMUSG00000091648,36.0683701705478,3.03346034054022,0.751840386402313,4.03471321227615,0.0000546690287616642,0.000342449338204811,C2cd4d,271944,chr3,0,-1.50598336396482,0.156216653651514
ENSMUSG00000048330,720.255243008305,3.03324264260872,0.320511373790093,9.46375976222057,2.97065309138369e-21,1.33396469770229e-19,Ric3,320360,chr7,0,1.98939559637378,0.00000000226281805175277
ENSMUSG00000029695,724.848331741194,3.02908026120572,0.2021863795823,14.9816237249193,9.68223266034873e-51,2.067248014802e-48,Aass,30956,chr6,0,-1.03191171420895,0.0000256967614665782
ENSMUSG00000037999,2145.99065660965,3.02498689827414,0.240787635103361,12.5628830441215,3.3779580525872e-36,3.74754640422321e-34,Arap2,212285,chr5,0,0.778550631648399,0.00250573362170141
ENSMUSG00000025952,12.5584889541935,3.02422595022306,1.024940813231,2.95063472074018,0.00317121712151101,0.012212180686411,Crygc,12966,chr1,0,0.60174099101391,0.651911237685194
ENSMUSG00000026976,53.2241897662855,3.02083419990884,1.02736544287487,2.94036968136251,0.0032782086764337,0.0125599874873842,Pax8,18510,chr2,0,-1.40969507331406,0.264493955093619
ENSMUSG00000024479,15.7503277580227,3.01518478017576,1.09003566941024,2.76613404936292,0.00567252118407176,0.0200845587355933,Mal2,105853,chr15,0,0.766665762113536,0.570481467628959
ENSMUSG00000035112,822.743732662033,3.00983876881168,0.228388025703218,13.1786189733207,1.16503983832242e-39,1.52411454456145e-37,Wnk4,69847,chr11,0,1.23893393057217,0.000000316693976923649
ENSMUSG00000050875,546.334349745002,3.00877585352022,0.252361399521331,11.9224883806602,9.03684700125467e-33,8.11594925922205e-31,A730017C20Rik,225583,chr18,0,0.224935978004246,0.463149958801121
ENSMUSG00000022586,9.95240335537872,3.00852879585134,1.19287123512301,2.52209015295863,0.0116659805630994,0.0369264995949742,Ly6i,57248,chr15,0,2.08562865250953,0.12295369997891
ENSMUSG00000032128,111.867222287787,3.00576657279439,0.334075874822284,8.99725720809184,2.31426906599022e-19,8.8924511887081e-18,Robo3,19649,chr9,0,0.231246273637655,0.609653122771967
ENSMUSG00000042268,112.848113397282,3.00547963973055,0.394983600863188,7.60912512104918,0.0000000000000275957502948217,0.000000000000684060263606139,Slc26a9,320718,chr1,0,0.0888561379058112,0.869707033958841
ENSMUSG00000026923,857.586900892409,3.00541369499487,0.211301667968283,14.2233316182151,6.56514533669479e-46,1.11716067112839e-43,Notch1,18128,chr2,1,-0.24876549961948,0.331758884698225
ENSMUSG00000026069,27.4764870801886,3.00481813741438,0.621153496886231,4.83748083602069,0.00000131495058456727,0.0000114329472262491,Il1rl1,17082,chr1,0,0.107345745364261,0.905628045124003
ENSMUSG00000054892,256.09676854972,3.00320548377149,0.379422334174679,7.91520480813043,2.46846403014003e-15,0.0000000000000674713501571608,Txk,22165,chr5,0,0.624053531826783,0.15263921411858
ENSMUSG00000020183,280.204132624999,3.00270959514778,0.309619073156991,9.69807694510239,3.07234571849466e-22,1.46385954317834e-20,Cpm,70574,chr10,0,-1.52256328086254,0.00014538688652621
ENSMUSG00000040624,1878.15403240808,3.0026142013436,0.298212463841516,10.0687079361624,7.59695056286024e-24,4.08394739046681e-22,Plekhg1,213783,chr10,0,0.728163235530932,0.024204608567821
ENSMUSG00000073130,1286.06032628851,2.99973137495918,0.320276690533518,9.36606210699322,7.52892004604294e-21,3.27681766311623e-19,Gm1141,382221,chrX,0,8.23862956862067,7.2087894979542e-159
ENSMUSG00000085761,46.1924206716731,2.99766657651081,0.599218599148942,5.00262605461236,0.000000565545779034036,0.00000525212641407398,4930455G09Rik,78917,chr4,0,3.39394202851781,0.000000049740620087361
ENSMUSG00000085967,45.6072034846498,2.99700871214615,0.863064954957546,3.47251814006696,0.00051560016659649,0.00251814047699865,Gm12530,329851,chr4,0,6.39043996296762,0.000000000000034586551649904
ENSMUSG00000080069,15.1298194899656,2.99087595963759,1.2496344602694,2.39340067414019,0.0166930004263236,0.0497886117090874,NA,NA,chrX,0,5.44535471840556,0.0000165401842051273
ENSMUSG00000028804,74.3977952168357,2.98962689985223,0.550534345013745,5.43040943209019,0.0000000562249078529004,0.000000630253647611115,Csmd2,329942,chr4,0,5.02680043595499,4.97140415939484e-20
ENSMUSG00000025557,114.5292684188,2.98936320355269,0.894728743440321,3.34108323385062,0.000834522010965178,0.00384368933769375,Slc15a1,56643,chr14,0,0.956876234103472,0.349446143383609
ENSMUSG00000034634,18.5851951372593,2.98271725552782,0.949615950064913,3.14097215334677,0.00168388042102001,0.00710072325107601,Ly6d,17068,chr15,0,2.29064379838907,0.0287576482947559
ENSMUSG00000091723,7.36426191891496,2.97911273186661,1.21851974716225,2.44486208681027,0.0144907541653649,0.0443106991247823,NA,NA,chr14,0,-0.302275850520712,0.864629507694251
ENSMUSG00000025496,209.530884940187,2.97810026265881,0.548460657230365,5.4299250518674,0.0000000563777233860739,0.000000631653780036448,Drd4,13491,chr7,0,2.45305763351,0.00001964546323026
ENSMUSG00000090605,70.2475016272028,2.97317191898484,0.473158461770619,6.28367060764136,0.000000000330670950184149,0.00000000515409431444054,NA,NA,chr8,0,2.86340496407422,0.00000000771397684443876
ENSMUSG00000042251,366.66387249328,2.96515881760687,0.39758404246521,7.45794222328813,0.000000000000087884189094415,0.00000000000205262638553643,Pm20d1,212933,chr1,0,-0.70330181746922,0.131028108093644
ENSMUSG00000052688,1110.22179522174,2.95863801591798,0.22014868047308,13.4392720844846,3.55920484063116e-41,4.85252553934725e-39,5430435G22Rik,226421,chr1,0,-3.08574331455818,2.96703227548749e-25
ENSMUSG00000046805,2043.83413295842,2.95698075373839,0.246449020345387,11.9983465529476,3.62465166539492e-33,3.37584841527645e-31,Mpeg1,17476,chr19,0,0.204021420148003,0.478051386639251
ENSMUSG00000033213,822.032229767044,2.95552599981555,0.488165766543697,6.05434916246016,0.0000000014098650956005,0.0000000201567067868797,AA467197,433470,chr2,0,9.20176433545395,7.87825631120725e-89
ENSMUSG00000041805,217.735559712983,2.95386138775078,1.22889774481592,2.40366735166664,0.0162315357296749,0.0486494658500865,Pramel1,83491,chr4,0,10.3348739603721,5.6657400647454e-19
ENSMUSG00000042828,15.8999430164472,2.94999186183594,0.807540680058434,3.65305666288227,0.000259137018621761,0.00136581020154814,Trim72,434246,chr7,0,0.918762307984518,0.364642527151919
ENSMUSG00000050103,96.0199205038286,2.9392496281667,0.495858659475298,5.92759564041278,0.00000000307402316363692,0.0000000421644195390489,Agmo,319660,chr12,0,-0.0468466492183262,0.944955949307599
ENSMUSG00000050379,3927.46415260879,2.93150242423135,0.232911422970781,12.5863402783774,2.51045302911273e-36,2.79884595836844e-34,Sept6,56526,chrX,0,0.276083625592515,0.294701741381251
ENSMUSG00000028360,184.607621600904,2.92568593622479,0.395969736958384,7.38866045344338,0.000000000000148315373193659,0.00000000000336677384766188,Slc44a5,242259,chr3,0,5.60422094064484,2.49647752594238e-47
ENSMUSG00000050074,20.0407850996105,2.92419879881793,0.822694425933981,3.55441669061775,0.00037881850518357,0.00191456462914573,Spink8,78709,chr9,0,1.94461544416854,0.035179050527383
ENSMUSG00000042429,2809.09042411534,2.92139204497603,0.314924425760076,9.2764860582827,1.75160039270144e-20,7.49380341920963e-19,Adora1,11539,chr1,0,0.925354749462123,0.00587691246922818
ENSMUSG00000002107,2063.7514201834,2.91986964102205,0.259973958480321,11.2313927829163,2.85935333458495e-29,2.06091989389575e-27,Celf2,14007,chr2,0,0.685553038539867,0.0146606426093312
ENSMUSG00000054013,58.1517177270275,2.91759957157515,0.553390695501719,5.27222375672575,0.000000134780613161207,0.00000141679277151158,Tmem179,104885,chr12,0,3.31342352418124,0.00000000764732738024518
ENSMUSG00000020721,3646.309458274,2.91550585533697,0.259534702321195,11.2335877601786,2.78918098809834e-29,2.02322897828979e-27,Helz,78455,chr11,0,1.2295054559435,0.0000055570279534557
ENSMUSG00000071637,482.451073156851,2.91301652768675,0.252698870832705,11.5276198824618,9.57544399677307e-31,7.76743543136086e-29,NA,NA,chr16,0,-1.07970531243588,0.000410933768472961
ENSMUSG00000028378,2782.98754357078,2.91257237975239,0.169158456878083,17.2180122324689,1.94556214028545e-66,7.86285042123935e-64,Ptgr1,67103,chr4,0,-0.398832845588666,0.0353478630024709
ENSMUSG00000039470,2197.44307665114,2.91236572455499,0.208033744652053,13.9994870996822,1.56999684454097e-44,2.5747948250472e-42,Zdhhc2,70546,chr8,0,-0.480715458890904,0.0384666892988929
ENSMUSG00000022986,7.73861790003501,2.91156518128602,1.21213280451576,2.40201830231728,0.0163048926327477,0.0488305319656406,Krt75,109052,chr15,0,-3.13701485428447,0.16891353753445
ENSMUSG00000086315,243.655069740149,2.90833760307772,0.782179938442916,3.71824622460574,0.000200610686595014,0.00109035087872679,NA,NA,chr12,0,8.91421410577435,1.6383374418409e-33
ENSMUSG00000040659,3361.69117605018,2.90713437285202,0.164060010277562,17.719945085543,2.94199408343022e-70,1.33166420192386e-67,Efhd2,27984,chr4,0,1.74608181504334,2.90797164229183e-25
ENSMUSG00000037098,2778.84447509286,2.90651178076416,0.254638766264825,11.4142548811338,3.54932595032211e-30,2.74158173746382e-28,Rab11fip3,215445,chr17,0,1.56417102250573,0.00000000284887765215031
ENSMUSG00000066687,220.599389309227,2.90289885796616,0.285979781656921,10.1507135964201,3.2894924580802e-24,1.82918411084204e-22,Zbtb16,235320,chr9,0,1.44603780886853,0.00000336657793612668
ENSMUSG00000086332,68.0725780626296,2.89927313996722,0.980272042041748,2.95762096196123,0.00310023083834988,0.0119816298383768,NA,NA,chr4,0,6.57582593821497,0.0000000000165928390763673
ENSMUSG00000072928,69.2992383467377,2.89854231387438,0.742753803654711,3.90242675246109,0.0000952330619453905,0.000562745341500804,NA,NA,chrX,0,5.99084106670687,3.23674791416331e-16
ENSMUSG00000087182,30.2370193409579,2.8941270762233,1.03621968519596,2.79296670153104,0.00522270678529905,0.0187381578891706,NA,NA,chr2,0,6.03817182939536,0.00000000407574914574165
ENSMUSG00000047842,335.20780740307,2.89254801620098,0.36211238441438,7.98798423003096,1.37162991590019e-15,0.0000000000000383243558724112,Diras2,68203,chr13,0,0.661950783902618,0.106036491062519
ENSMUSG00000024059,7376.6434376322,2.88987307242516,0.220069802407271,13.1316202441852,2.16964096931262e-39,2.82202956422317e-37,Clip4,78785,chr17,0,5.39530413868824,1.07796176664934e-131
ENSMUSG00000055717,890.169166660267,2.889754686045,0.314539160704388,9.18726520276075,4.02955397972402e-20,1.66721875080647e-18,Slain1,105439,chr14,0,0.765782015412951,0.0256850600828803
ENSMUSG00000019278,739.641911673427,2.88935161352166,0.292260955892058,9.88620462388687,4.77800163383695e-23,2.40836821775051e-21,Dpep1,13479,chr8,0,0.00900220456819652,0.981300694962762
ENSMUSG00000062905,10.0085115687597,2.88649613724195,0.994083363425753,2.9036761336541,0.00368809454486013,0.0138929686649924,Vmn1r32,171188,chr6,0,0.340392530266175,0.80524680921861
ENSMUSG00000071679,134.99075820427,2.88443988759481,0.355236565774483,8.11977190835123,4.67060638651833e-16,0.0000000000000136569978991838,Zcchc16,619287,chrX,0,0.617437843369,0.146329290761191
ENSMUSG00000035539,1080.50218056855,2.88014900651403,0.461981622718938,6.23433674604468,0.000000000453696187823077,0.00000000698032095364505,E230008N13Rik,381522,chr4,0,8.20555891814134,1.99908597999701e-73
ENSMUSG00000005681,19.3842196697748,2.87888765869119,0.987467824141625,2.91542426832359,0.0035520530228004,0.01344315451706,Apoa2,11807,chr1,2,2.78025363257515,0.00903773675324377
ENSMUSG00000037095,193.202132524156,2.87841125429126,0.480615431007566,5.98901131463244,0.0000000021112047780989,0.0000000295673184021871,Lrg1,76905,chr17,0,0.534505733606893,0.340823066111143
ENSMUSG00000010492,85.5966512524618,2.87818702361816,0.457136105535917,6.29612710254851,0.000000000305174170738059,0.00000000478303450979484,Uckl1os,100271841,chr2,0,1.1405807415144,0.0282699564784152
ENSMUSG00000023019,605.624949304636,2.87121462250819,0.915432077930241,3.13645839132042,0.00171001699455072,0.00719618903322273,Gpd1,14555,chr15,0,2.11576627253231,0.0318764068951729
ENSMUSG00000049928,49.9912451798569,2.87102731731059,0.826739181006213,3.4727122933938,0.000515227351001724,0.00251686281197303,Glp2r,93896,chr11,0,6.26676579307315,8.06311239688763e-15
ENSMUSG00000079465,770.335525931339,2.86299096640134,0.272441911534421,10.5086289781065,7.88312047101949e-26,4.95585506944759e-24,Col4a3,12828,chr1,0,0.678484880977409,0.0236895851656134
ENSMUSG00000031842,30.2775542379553,2.86155338602254,0.598647091350192,4.78003389203575,0.00000175265646080423,0.0000148952763878788,Pde4c,110385,chr8,0,1.24210205540021,0.078872417492612
ENSMUSG00000027220,257.316672159537,2.85887639350566,0.329142010523128,8.68584471779175,3.7593816621519e-18,1.31910582601274e-16,Syt13,80976,chr2,0,-0.899386234297847,0.0262180830816747
ENSMUSG00000081578,10.1958572230442,2.85557191322692,0.990844305254044,2.88195824317199,0.00395212103832713,0.0147379145393672,NA,NA,chr11,0,0.289781766492328,0.834435724287465
ENSMUSG00000083307,344.178030332127,2.85556674060126,0.363403196798707,7.85784705736364,3.90792050042767e-15,0.000000000000104174389594439,NA,NA,chrX,0,0.451025082802505,0.284917131508841
ENSMUSG00000068323,152.85348415085,2.85092265717567,0.381091545713341,7.48093913193275,0.0000000000000737933536723803,0.00000000000174233136192519,Slc4a5,232156,chr6,0,0.486169040159439,0.287926931965145
ENSMUSG00000029679,1317.66781199526,2.8406331511785,0.540377640646726,5.25675553077811,0.000000146619006184549,0.00000153127888692603,Hyal6,74409,chr6,0,9.98018866057914,9.32340928148838e-85
ENSMUSG00000052572,252.464270262544,2.840565990607,0.333255666571411,8.52368399262707,1.54556948537572e-17,5.14401891073871e-16,Dlg2,23859,chr7,0,4.34945252789589,1.1292943610224e-38
ENSMUSG00000073207,774.684271207425,2.83712714042748,0.222185312131859,12.7691930362334,2.43667527882775e-37,2.88726884347799e-35,Ccdc160,434778,chrX,0,0.737170774847427,0.00244829464281887
ENSMUSG00000064330,24.6306912334942,2.82638716075451,1.04576132849322,2.70270766736699,0.00687772060450071,0.0236014188256544,Pde6h,78600,chr6,0,5.06614656891306,0.0000018017064603241
ENSMUSG00000077043,1111.56003275893,2.82588361963116,0.287510325117438,9.82880742970497,8.46148064809898e-23,4.22737814630853e-21,NA,NA,chr10,0,-0.533543902215837,0.101016069187634
ENSMUSG00000036913,21.4447212664332,2.82253130629239,0.872273186082162,3.23583408423898,0.00121287860677027,0.00534044136739783,Trim67,330863,chr8,0,3.02251151472599,0.00111932147457652
ENSMUSG00000036596,384.115664519235,2.82227654741862,0.52080460661243,5.41906986149008,0.0000000599099052617114,0.000000667921662996578,Cpz,242939,chr5,0,-2.8842385397776,0.00000314888873121699
ENSMUSG00000036030,60.5647939887626,2.81960208161739,0.436615552677988,6.45785992808391,0.000000000106193961105666,0.00000000176071921446406,Prtg,235472,chr9,0,1.3316118971593,0.00767992245432671
ENSMUSG00000022577,90.5226301414696,2.81895119734739,0.416134191022171,6.77413982836418,0.000000000012514859010672,0.000000000233500650560204,Ly6h,23934,chr15,0,-0.368413643956025,0.511500676316294
ENSMUSG00000025934,977.785511329623,2.81762389929898,0.234123518765988,12.0347751227644,2.33268773712391e-33,2.21820961624321e-31,Gsta3,14859,chr1,0,2.41541435085667,7.52489975712351e-24
ENSMUSG00000036617,2637.71090502881,2.81697981606684,0.237571133134568,11.8574162563395,1.96959463128979e-32,1.74124475372463e-30,Etl4,208618,chr2,0,0.204211800255079,0.458152649201867
ENSMUSG00000022148,284.295910195111,2.81655970301866,0.35853812444609,7.85567701445977,3.97618494489274e-15,0.000000000000105745026642553,Fyb,23880,chr15,0,2.8291604846417,0.0000000000000178865925129396
ENSMUSG00000041096,3637.49395372264,2.8127163082018,0.219480066387013,12.8153611145811,1.34510681454023e-37,1.65448138188449e-35,Tspyl2,52808,chrX,0,-0.0840267985560023,0.751577581695696
ENSMUSG00000060780,26.172916002647,2.81221844185638,0.735953403491595,3.82119089131776,0.00013280880101481,0.000756898196586424,Lrrtm1,74342,chr6,0,3.34058945402748,0.0000140704475455528
ENSMUSG00000016758,162.077698968117,2.81129969928994,0.37395286492082,7.51779158019071,0.0000000000000557092155348555,0.00000000000133137377611917,Bik,12124,chr15,0,2.06907104039394,0.000000164635864563363
ENSMUSG00000055026,22.9047842584799,2.801166130085,1.07543868810692,2.6046730148939,0.00919619774817065,0.0302158753401604,Gabrg3,14407,chr7,0,5.02189167174707,0.00000432689786573409
ENSMUSG00000026322,8.73538318183427,2.80114585529669,1.13706651545258,2.46348460466429,0.0137593804367736,0.042425381205049,Htr4,15562,chr18,0,-1.48204800309571,0.395881022868633
ENSMUSG00000046844,39.5429047621584,2.79869523902562,0.891467691682234,3.13942419353905,0.00169280206593933,0.00713435686337783,Vat1l,270097,chr8,0,2.39837551345634,0.0126600508062774
ENSMUSG00000078161,42.5113799070925,2.79550091501731,0.648324489334761,4.31188542312468,0.0000161868312554271,0.000114267113216727,NA,NA,chr3,0,4.44544685141451,0.0000000000100050530063768
ENSMUSG00000050994,1822.78858068919,2.79530043257324,0.332478622295708,8.40745914210114,4.1898824666173e-17,1.34504141821961e-15,Adgb,215772,chr10,0,8.95762142360942,1.15695439675233e-178
ENSMUSG00000029828,5156.27885591416,2.7917880580994,0.316813787950852,8.81207878027231,1.228462419719e-18,4.44130375129078e-17,4921507P07Rik,70821,chr6,0,8.69765125542225,1.25335361861671e-170
ENSMUSG00000074899,416.09693206699,2.79071003045823,0.43431338940701,6.42556757061651,0.000000000131378389451667,0.0000000021530454091746,Sptbn5,640524,chr2,0,0.144129523050414,0.787605860076961
ENSMUSG00000031698,286.005269035235,2.78771985053273,0.322387440491234,8.64711058931135,5.28197770349133e-18,1.82506441809795e-16,Mylk3,213435,chr8,0,-0.367597566341858,0.355163002574696
ENSMUSG00000045246,362.120950565176,2.7868928328643,0.361052821435694,7.71879533244603,0.0000000000000117434293044384,0.000000000000302019650020511,Kcng4,66733,chr8,0,4.648202732606,1.27304617719638e-37
ENSMUSG00000026179,3137.39812562893,2.78506171727747,0.233608677490675,11.9219103810415,9.09977036720258e-33,8.14015821938849e-31,Pnkd,56695,chr1,0,1.3683376364442,0.000000015775608872405
ENSMUSG00000032554,43.6910155837907,2.78428358692929,0.626497547329651,4.44420508714978,0.00000882174238774494,0.0000655461830989637,Trf,22041,chr9,0,0.610695476961273,0.42790256083126
ENSMUSG00000003534,4473.33261379582,2.77603447273119,0.217936647956999,12.7378047646164,3.64507370279343e-37,4.14549286641311e-35,Ddr1,12305,chr17,0,-0.776256818484382,0.000879084706336969
ENSMUSG00000062785,21.5862700977179,2.77591025818508,0.786672086584492,3.52867516913851,0.000417645436083515,0.00208887326175516,Kcnc3,16504,chr7,0,2.37512498477879,0.00559364190663678
ENSMUSG00000030111,414.869070055986,2.77450110751737,0.231749572100897,11.971979418842,4.98255572343224e-33,4.56539275840966e-31,A2m,232345,chr6,0,1.23163241986521,0.000000850399272143684
ENSMUSG00000034987,31.699524549705,2.77428004043304,1.14735120731736,2.41798677051958,0.0156066442160205,0.0471547728418657,Hrh2,15466,chr13,0,6.7863236864694,0.00000000115741437565898
ENSMUSG00000006651,652.748736599562,2.76670137655031,0.285160493503947,9.70226044482566,2.94891742419896e-22,1.41398091407777e-20,Aplp1,11803,chr7,0,0.965842125561409,0.00166822911600733
ENSMUSG00000024254,50.1744813773831,2.75812829133634,1.1064081467683,2.49286694010029,0.0126716322734907,0.0395728413983222,Abcg8,67470,chr17,0,7.47009086417207,0.00000000000201638322617914
ENSMUSG00000049761,616.443172507585,2.75638858546239,0.58924311771597,4.67784604111581,0.00000289904076799265,0.0000235852362195578,Pmis2,74927,chr7,0,8.76315364929302,4.64120981327943e-54
ENSMUSG00000016194,170.278432254546,2.7563577657921,0.347988642173205,7.9208268079628,2.35936384774486e-15,0.0000000000000645672582855644,Hsd11b1,15483,chr1,0,-2.63972636563508,0.00000112377116549363
ENSMUSG00000030500,41.2180571449262,2.75543896623833,1.09940040178443,2.50631067786223,0.0121998371917512,0.0383151307670997,Slc17a6,140919,chr7,0,7.07874444832281,0.0000000000261289773924021
ENSMUSG00000009596,486.094885685286,2.74918863028831,0.58405622563407,4.70706159720103,0.00000251312987958698,0.0000207051894557017,Taf7l,74469,chrX,0,8.96876005535534,1.5219347175255e-60
ENSMUSG00000018166,572.251995200287,2.7447026207022,0.238111822388565,11.5269481085372,9.6504356964772e-31,7.80030931009543e-29,Erbb3,13867,chr10,1,-1.19023331027613,0.0000265752378965589
ENSMUSG00000032089,305.045431580586,2.73911240287414,0.303413484064931,9.02765548247013,1.75389006490703e-19,6.83202064526263e-18,Il10ra,16154,chr9,0,-1.34163780506382,0.000339611420627414
ENSMUSG00000042064,43.8491922656184,2.73890765336953,1.0992579585926,2.49159683763055,0.0127170295432022,0.0396872328491108,Myo3b,329421,chr2,0,7.28199087027284,0.00000000000487264452846564
ENSMUSG00000023013,127.850386866272,2.73556416018952,0.47318008134638,5.78123270194676,0.00000000741552319903694,0.0000000968984532566998,Aqp2,11827,chr15,0,3.39823681236744,0.00000000000256864872949667
ENSMUSG00000031488,989.575067872856,2.73075152059082,0.302529072285081,9.02641025526816,1.77395527373718e-19,6.89830854900685e-18,Rab11fip1,75767,chr8,0,1.15456270328824,0.000314748753000618
ENSMUSG00000011832,3244.71048592809,2.72877535125558,0.213864747421923,12.7593508708198,2.76495533089054e-37,3.20192578153496e-35,Evi5l,213027,chr8,0,3.8094961450951,8.08491642470591e-70
ENSMUSG00000024640,1710.08261228798,2.7286320499189,0.357610829222726,7.63017175919875,0.0000000000000234441149979438,0.00000000000058563709782943,Psat1,107272,chr19,0,0.441479938488516,0.272753150357968
ENSMUSG00000027443,3765.15818373131,2.72829730343488,0.387365954298733,7.04320365059973,0.00000000000187869328465994,0.0000000000383395729652153,Cst12,69362,chr2,0,0.573214510812847,0.181376726054471
ENSMUSG00000029359,310.612434715705,2.72756910408158,0.308787307098193,8.83316458086868,1.01755135449208e-18,3.69058048956167e-17,Tesc,57816,chr5,0,-0.540325400495395,0.148577232820174
ENSMUSG00000027820,1232.12320476172,2.72507276316604,0.198222186874159,13.7475668397103,5.26713140591635e-43,7.89441840918535e-41,Mme,17380,chr3,1,-0.327118738821435,0.155605792449929
ENSMUSG00000025461,14.5343129078976,2.7226173178059,0.919181838915111,2.96200077344799,0.00305647016143726,0.011844868611926,Cd163l1,244233,chr7,0,-0.127387528004624,0.922773133965504
ENSMUSG00000020023,1436.64498058672,2.72197211487411,0.221790587409526,12.2727125017624,1.26928650446297e-34,1.32380148244267e-32,Tmcc3,319880,chr10,0,1.05259954803709,0.00000675570702940086
ENSMUSG00000020057,819.122690751017,2.72115962772211,0.178993617001387,15.2025512043875,3.40112989115941e-52,7.6212249204673e-50,Dram1,71712,chr10,0,2.58058656860107,4.5719229443464e-45
ENSMUSG00000037887,112.603032704543,2.71927936841926,0.404163558799299,6.72816563793573,0.0000000000171815274747283,0.000000000316140105535001,Dusp8,18218,chr7,0,-1.6575684404821,0.00298549584345091
ENSMUSG00000031285,53.6796157071279,2.71880250234788,0.542227479356277,5.01413632812486,0.000000532722071112162,0.00000496973038475286,Dcx,13193,chrX,0,-2.64266572331169,0.00380611268417994
ENSMUSG00000074281,13.9607691631018,2.71839856089809,0.874718743230689,3.10774015297529,0.00188523745684485,0.00783018794702012,Gm12522,100038453,chr3,0,0.983783372514154,0.360057598652363
ENSMUSG00000027956,1520.36637008858,2.71443859040305,0.212645677503281,12.7650776741567,2.56894267940348e-37,3.01245133265593e-35,Tmem144,70652,chr3,0,4.83658397363174,7.4523214309962e-115
ENSMUSG00000077034,655.768650317585,2.71274970557964,0.291332596679622,9.31152138997631,1.2601418869608e-20,5.42196410374464e-19,NA,NA,chr10,0,-0.270358347438618,0.43614974896324
ENSMUSG00000040852,3550.88491970565,2.70950836714468,0.244359841871802,11.0881900495179,1.43154884704576e-28,1.00305924168234e-26,Plekhh2,213556,chr17,0,5.70336800249461,2.79791233173738e-120
ENSMUSG00000018459,38.4225695597593,2.70878571870126,0.54330334207834,4.98577039548319,0.000000617154006676492,0.00000568243672868282,Slc13a3,114644,chr2,0,1.69945804132427,0.005169547719752
ENSMUSG00000004113,39.0772293222578,2.70689348625248,0.838625421909428,3.22777418324533,0.00124757416880493,0.00547297898592617,Cacna1b,12287,chr2,0,5.37469843663832,0.000000000116458219796389
ENSMUSG00000019996,3164.03883435608,2.70620698854571,0.224909239563932,12.0324402580911,2.39961766984908e-33,2.27230741021022e-31,Map7,17761,chr10,0,3.55388341693812,4.00116539086385e-55
ENSMUSG00000042684,546.72806061711,2.70300590471599,0.30628517157364,8.8251281994111,1.09334491369216e-18,3.95913313386896e-17,Npl,74091,chr1,0,0.915271515998624,0.00590243456914137
